BarIndex,Time,MacroState,ActiveDirection,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,SFCStatus,ExpectedNextBehavior,InvalidationCondition
235,"2026-05-14 10:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.234,0.593,0.013,0.411,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
236,"2026-05-14 10:45:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.215,0.546,0.012,0.378,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
237,"2026-05-14 10:50:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.198,0.502,0.011,0.348,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
238,"2026-05-14 10:55:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.182,0.462,0.010,0.320,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
239,"2026-05-14 11:00:00","Balance","Up","TwoR",0.900,"Resolved",0.840,0.628,0.725,0.139,0.644,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
240,"2026-05-14 11:05:00","Balance","Up","TwoR",0.900,"Resolved",0.903,0.577,0.667,0.128,0.593,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
241,"2026-05-14 11:10:00","Balance","Up","TwoR",0.900,"Resolved",0.931,0.581,0.764,0.118,0.645,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
242,"2026-05-14 11:15:00","Balance","Up","TwoR",0.900,"Resolved",0.986,0.535,0.703,0.108,0.594,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
243,"2026-05-14 11:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.492,0.646,0.100,0.546,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
244,"2026-05-14 11:25:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.453,0.595,0.092,0.503,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
245,"2026-05-14 11:30:00","Balance","Up","TwoR",0.900,"Resolved",0.950,0.616,0.647,0.134,0.612,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
246,"2026-05-14 11:35:00","Degrading","Up","TwoR",0.900,"Resolved",1.000,0.567,0.595,0.124,0.563,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
247,"2026-05-14 11:40:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.982,0.848,0.244,0.868,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
248,"2026-05-14 11:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.903,0.780,0.224,0.799,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
249,"2026-05-14 11:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.931,0.881,0.867,0.206,0.835,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
250,"2026-05-14 11:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.986,0.810,0.798,0.190,0.768,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
251,"2026-05-14 12:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.746,0.734,0.175,0.707,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
252,"2026-05-14 12:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.686,0.675,0.161,0.650,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
253,"2026-05-14 12:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.681,0.771,0.148,0.698,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
254,"2026-05-14 12:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.627,0.710,0.136,0.642,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
255,"2026-05-14 12:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.626,0.803,0.125,0.691,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
256,"2026-05-14 12:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.576,0.739,0.115,0.636,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
257,"2026-05-14 12:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.530,0.680,0.106,0.585,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
258,"2026-05-14 12:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.538,0.775,0.097,0.638,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
259,"2026-05-14 12:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.545,0.863,0.090,0.687,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
260,"2026-05-14 12:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.501,0.794,0.082,0.632,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
261,"2026-05-14 12:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.511,0.881,0.076,0.681,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
262,"2026-05-14 12:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.470,0.810,0.070,0.627,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
263,"2026-05-14 13:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.433,0.745,0.064,0.577,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
264,"2026-05-14 13:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.398,0.686,0.059,0.531,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
265,"2026-05-14 13:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.416,0.781,0.054,0.588,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
266,"2026-05-14 13:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.433,0.868,0.050,0.641,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
267,"2026-05-14 13:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.398,0.799,0.046,0.590,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
268,"2026-05-14 13:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.416,0.885,0.042,0.643,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
269,"2026-05-14 13:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.433,0.964,0.039,0.691,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
270,"2026-05-14 13:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.398,0.887,0.036,0.636,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
271,"2026-05-14 13:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.367,0.816,0.033,0.585,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
272,"2026-05-14 13:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.337,0.751,0.030,0.538,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
273,"2026-05-14 13:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.360,0.841,0.028,0.595,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
274,"2026-05-14 13:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.381,0.924,0.026,0.648,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
275,"2026-05-14 14:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.351,0.850,0.024,0.596,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
276,"2026-05-14 15:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.323,0.782,0.022,0.548,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
277,"2026-05-14 15:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.347,0.869,0.020,0.604,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
278,"2026-05-14 15:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.319,0.800,0.018,0.556,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
279,"2026-05-14 15:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.294,0.736,0.017,0.511,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
280,"2026-05-14 15:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.320,0.827,0.016,0.571,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
281,"2026-05-14 15:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.295,0.761,0.014,0.525,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
282,"2026-05-14 15:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.271,0.700,0.013,0.483,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
283,"2026-05-14 15:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.794,0.012,0.544,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
284,"2026-05-14 15:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.880,0.011,0.601,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
285,"2026-05-14 15:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.810,0.010,0.553,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
286,"2026-05-14 15:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.895,0.009,0.608,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
287,"2026-05-14 16:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.299,0.823,0.009,0.560,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
288,"2026-05-14 16:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.325,0.908,0.008,0.615,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
289,"2026-05-14 16:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.349,0.985,0.007,0.666,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
290,"2026-05-14 16:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.371,1.000,0.007,0.713,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
291,"2026-05-14 16:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.392,1.000,0.006,0.756,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
292,"2026-05-14 16:25:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.360,0.920,0.006,0.695,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
293,"2026-05-14 16:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.332,0.846,0.005,0.639,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
294,"2026-05-14 16:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.305,0.779,0.005,0.588,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
295,"2026-05-14 16:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.281,0.716,0.004,0.541,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
296,"2026-05-14 16:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.258,0.659,0.004,0.498,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
297,"2026-05-14 16:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.238,0.606,0.004,0.458,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
298,"2026-05-14 16:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.269,0.708,0.003,0.521,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
299,"2026-05-14 17:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.247,0.651,0.003,0.480,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
300,"2026-05-14 17:05:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.227,0.599,0.003,0.441,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
301,"2026-05-14 17:10:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.669,0.851,0.133,0.756,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
302,"2026-05-14 17:15:00","Unresolved","Up","TwoR",0.900,"Resolved",0.873,0.666,0.933,0.122,0.796,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
303,"2026-05-14 17:20:00","Unresolved","Up","TwoR",0.900,"Resolved",0.933,0.612,0.858,0.112,0.732,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
304,"2026-05-14 17:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.988,0.563,0.790,0.103,0.673,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
305,"2026-05-14 17:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.568,0.877,0.095,0.720,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
306,"2026-05-14 17:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.523,0.806,0.087,0.662,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
307,"2026-05-14 17:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.481,0.742,0.080,0.609,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
308,"2026-05-14 17:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.443,0.683,0.074,0.560,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
309,"2026-05-14 17:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.457,0.778,0.068,0.615,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
310,"2026-05-14 17:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.421,0.716,0.063,0.566,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
311,"2026-05-14 18:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.437,0.808,0.058,0.621,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
312,"2026-05-14 18:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.402,0.744,0.053,0.571,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
313,"2026-05-14 18:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.370,0.684,0.049,0.526,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
314,"2026-05-14 18:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.340,0.630,0.045,0.483,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
315,"2026-05-14 18:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.363,0.729,0.041,0.545,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
316,"2026-05-14 18:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.334,0.671,0.038,0.501,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
317,"2026-05-14 18:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.307,0.617,0.035,0.461,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
318,"2026-05-14 18:35:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.283,0.568,0.032,0.424,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
319,"2026-05-14 18:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.260,0.522,0.030,0.390,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
320,"2026-05-14 18:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.699,0.781,0.157,0.709,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
321,"2026-05-14 18:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.643,0.718,0.145,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
322,"2026-05-14 18:55:00","Balance","Up","TwoR",0.900,"Resolved",0.961,0.592,0.661,0.133,0.600,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
323,"2026-05-14 19:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.984,0.594,0.758,0.122,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
324,"2026-05-14 19:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.597,0.847,0.113,0.700,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
325,"2026-05-14 19:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.549,0.779,0.104,0.644,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
326,"2026-05-14 19:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.555,0.867,0.095,0.692,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
327,"2026-05-14 19:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.511,0.798,0.088,0.637,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
328,"2026-05-14 19:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.470,0.734,0.081,0.586,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
329,"2026-05-14 19:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.432,0.675,0.074,0.539,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
330,"2026-05-14 19:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.398,0.621,0.068,0.496,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
331,"2026-05-14 19:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.366,0.571,0.063,0.456,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
332,"2026-05-14 19:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.797,0.826,0.188,0.770,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
333,"2026-05-14 19:50:00","Unresolved","Up","TwoR",0.900,"Resolved",0.903,0.733,0.760,0.173,0.708,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
334,"2026-05-14 19:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.961,0.674,0.699,0.159,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
335,"2026-05-14 20:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.984,0.670,0.793,0.146,0.699,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
336,"2026-05-14 20:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.667,0.880,0.135,0.744,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
337,"2026-05-14 20:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.613,0.809,0.124,0.684,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
338,"2026-05-14 20:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.564,0.744,0.114,0.629,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
339,"2026-05-14 20:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.569,0.835,0.105,0.679,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
340,"2026-05-14 20:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.524,0.768,0.096,0.625,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
341,"2026-05-14 20:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.482,0.707,0.089,0.575,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
342,"2026-05-14 20:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.443,0.650,0.082,0.529,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
343,"2026-05-14 20:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.458,0.748,0.075,0.586,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
344,"2026-05-14 20:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.421,0.688,0.069,0.540,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
345,"2026-05-14 20:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.437,0.783,0.064,0.596,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
346,"2026-05-14 20:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.452,0.871,0.058,0.649,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
347,"2026-05-14 21:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.466,0.951,0.054,0.697,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
348,"2026-05-14 21:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.429,0.875,0.049,0.641,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
349,"2026-05-14 21:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.445,0.955,0.046,0.690,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
350,"2026-05-14 21:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.409,0.878,0.042,0.635,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
351,"2026-05-14 21:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.426,0.958,0.039,0.684,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
352,"2026-05-14 21:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.392,0.882,0.035,0.629,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
353,"2026-05-14 21:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.411,0.961,0.033,0.679,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
